year_month,sales
2011-01,98902
2011-02,91152
2011-03,145726
2011-04,116927
2011-05,146762
2011-06,215214
2011-07,115518
2011-08,207570
2011-09,290230
2011-10,199070
2011-11,298499
2011-12,333941
2012-01,135775
2012-02,100521
2012-03,163092
2012-04,161060
2012-05,208370
2012-06,256181
2012-07,145247
2012-08,303158
2012-09,289390
2012-10,252942
2012-11,323512
2012-12,338245
2013-01,199197
2013-02,167247
2013-03,198591
2013-04,177835
2013-05,260525
2013-06,396513
2013-07,229940
2013-08,326491
2013-09,376626
2013-10,293423
2013-11,373996
2013-12,405476
2014-01,241267
2014-02,184848
2014-03,263110
2014-04,242781
2014-05,288404
2014-06,401843
2014-07,258718
2014-08,456633
2014-09,481186
2014-10,422785
2014-11,555312
2014-12,503154
