order_year,order_month,monthly_sales
2011,1,98902.00
2011,2,91152.00
2011,3,145726.00
2011,4,116927.00
2011,5,146762.00
2011,6,215214.00
2011,7,115518.00
2011,8,207570.00
2011,9,290230.00
2011,10,199070.00
2011,11,298499.00
2011,12,333941.00
2012,1,135775.00
2012,2,100521.00
2012,3,163092.00
2012,4,161060.00
2012,5,208370.00
2012,6,256181.00
2012,7,145247.00
2012,8,303158.00
2012,9,289390.00
2012,10,252942.00
2012,11,323512.00
2012,12,338245.00
2013,1,199197.00
2013,2,167247.00
2013,3,198591.00
2013,4,177835.00
2013,5,260525.00
2013,6,396513.00
2013,7,229940.00
2013,8,326491.00
2013,9,376626.00
2013,10,293423.00
2013,11,373996.00
2013,12,405476.00
2014,1,241267.00
2014,2,184848.00
2014,3,263110.00
2014,4,242781.00
2014,5,288404.00
2014,6,401843.00
2014,7,258718.00
2014,8,456633.00
2014,9,481186.00
2014,10,422785.00
2014,11,555312.00
2014,12,503154.00
