sub_category,total_sales,total_profit
Copiers,1509439.00,258567.55
Phones,1706874.00,216717.01
Bookcases,1466559.00,161924.42
Appliances,1011081.00,141680.59
Chairs,1501682.00,140396.27
Accessories,749307.00,129626.31
Storage,1127124.00,108461.49
Binders,461952.00,72449.85
Paper,244307.00,59207.68
Machines,779071.00,58867.87
Art,372163.00,57953.91
Furnishings,385609.00,46967.43
Envelopes,170926.00,29601.12
Supplies,243090.00,22583.26
Labels,73433.00,15010.51
Fasteners,83254.00,11525.42
Tables,757034.00,-64083.39
