product_name,total_loss
"Cubify Cubex 3D Printer Double Head Print",-8879.97
"Lexmark Mx611Dhe Monochrome Laser Printer",-4589.97
"Motorola Smart Phone, Cordless",-4447.04
"Cubify Cubex 3D Printer Triple Head Print",-3839.99
"Bevis Round Table, Adjustable Height",-3649.89
"Bevis Computer Table, Fully Assembled",-3509.56
"Rogers Lockers, Blue",-2893.49
"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",-2876.12
"Bevis Wood Table, With Bottom Storage",-2782.59
"Lesro Training Table, Rectangular",-2581.28
