product_name,total_sales
"Apple Smart Phone, Full Size",86936.00
"Cisco Smart Phone, Full Size",76441.00
"Motorola Smart Phone, Full Size",73159.00
"Nokia Smart Phone, Full Size",71904.00
"Canon Imageclass 2200 Advanced Copier",61600.00
"Hon Executive Leather Armchair, Adjustable",58200.00
"Office Star Executive Leather Armchair, Adjustable",50667.00
"Harbour Creations Executive Leather Armchair, Adjustable",50120.00
"Samsung Smart Phone, Cordless",48654.00
"Nokia Smart Phone, With Caller Id",47880.00
